facility_name,provider,latitude,longitude,state,operator_class,cooling_type,source_url,notes
Equinix DC11 Ashburn VA,Equinix,39.0163,-77.4588,VA,colocation_major,air,https://www.equinix.com/data-centers/americas/ashburn,Equinix DC11 Ashburn VA. Industry default for Ashburn IBX cluster: CRAC + chilled water (air). 9 IBXs in Ashburn follow the same pattern.
Equinix DC12 Ashburn VA,Equinix,39.015,-77.459,VA,colocation_major,air,https://www.equinix.com/data-centers/americas/ashburn,Equinix DC12 Ashburn VA. Same Ashburn IBX pattern: CRAC (air).
Equinix DC15 Ashburn VA,Equinix,39.0145,-77.4595,VA,colocation_major,air,https://www.equinix.com/data-centers/americas/ashburn,Equinix DC15 Ashburn VA. Same Ashburn IBX pattern: CRAC (air).
Equinix SV4 Sunnyvale CA,Equinix,37.3688,-122.0363,CA,colocation_major,air,https://www.equinix.com/data-centers/americas/silicon-valley,Equinix SV4. Mild CA climate; CRAC (air).
Equinix SY3 Sydney AU,Equinix,-33.8688,151.2093,NS,colocation_major,hybrid,https://www.equinix.com/data-centers/americas/sydney,Equinix SY3 Sydney. Hot maritime; adiabatic assist on hot days. Hybrid. AU not US but useful for transfer learning to US territories.
Digital Realty Dallas DFW14,Digital Realty,32.95,-96.85,TX,colocation_major,hybrid,https://www.digitalrealty.com/data-centers/americas,Digital Realty Dallas DFW14. Hot TX; adiabatic assist. Hybrid.
Digital Realty Sterling VA,Digital Realty,38.9938,-77.4348,VA,colocation_major,air,https://www.digitalrealty.com/data-centers/americas,Digital Realty Sterling VA. Mild VA; CRAC (air).
Digital Realty Santa Clara CA,Digital Realty,37.3541,-121.9552,CA,colocation_major,air,https://www.digitalrealty.com/data-centers/americas,Digital Realty Santa Clara CA. Mild CA; CRAC (air).
Flexential Denver CO,Flexential,39.7392,-104.9903,CO,colocation_major,hybrid,https://www.flexential.com/data-centers,"Flexential Denver CO. High-altitude dry; outside-air primary, evaporative on hot days. Hybrid."
Flexential Portland OR,Flexential,45.5152,-122.6784,OR,colocation_major,air,https://www.flexential.com/data-centers,Flexential Portland OR. Cool OR; outside-air (air).
Flexential Tampa FL,Flexential,27.9506,-82.4572,FL,colocation_major,evaporative,https://www.flexential.com/data-centers,Flexential Tampa FL. Hot humid FL; cooling towers (evaporative).
TierPoint Spokane WA,TierPoint,47.6588,-117.426,WA,colocation_major,air,https://www.tierpoint.com/data-centers/,TierPoint Spokane WA. Cool dry WA; outside-air economizer (air). Notable: hydro-powered facility.
TierPoint Raleigh NC,TierPoint,35.7796,-78.6382,NC,colocation_major,air,https://www.tierpoint.com/data-centers/,TierPoint Raleigh NC. Mild NC; CRAC (air).
H5 Data Centers Quincy IL,H5 Data Centers,39.9356,-91.3792,IL,colocation_major,hybrid,https://www.h5datacenters.com/data-centers/,"H5 Data Centers Quincy IL. Continental climate; outside-air primary, evaporative on hot humid days. Hybrid."
H5 Data Centers Cleveland OH,H5 Data Centers,41.4993,-81.6944,OH,colocation_major,air,https://www.h5datacenters.com/data-centers/,H5 Data Centers Cleveland OH. Cold winters; outside-air (air) for most of the year.
Vantage Ashburn VA,Vantage Data Centers,39.0163,-77.4588,VA,colocation_major,air,https://vantage-dc.com/data-centers/,Vantage Ashburn VA. Industry default: CRAC + chilled water (air). Mild VA climate.
Vantage Quincy WA,Vantage Data Centers,47.2343,-119.8526,WA,colocation_major,hybrid,https://vantage-dc.com/data-centers/,"Vantage Quincy WA. Continental WA; outside-air primary, evaporative on hot days. Hybrid."
Vantage Santa Clara CA,Vantage Data Centers,37.3541,-121.9552,CA,colocation_major,air,https://vantage-dc.com/data-centers/,Vantage Santa Clara CA. Mild CA; CRAC (air).
Aligned Dallas TX,Aligned Data Centers,32.7767,-96.797,TX,colocation_major,evaporative,https://www.aligneddatacenters.com/data-centers/,Aligned Dallas TX. Hot TX; uses Adaptive Cooling (waterless when possible; evaporative when hot). For our purposes: evaporative in summer months.
Aligned Ashburn VA,Aligned Data Centers,39.0163,-77.4588,VA,colocation_major,hybrid,https://www.aligneddatacenters.com/data-centers/,Aligned Ashburn VA. Adaptive Cooling: waterless most of the year; evaporative on hot days. Hybrid.
Aligned Phoenix AZ,Aligned Data Centers,33.4484,-112.074,AZ,colocation_major,evaporative,https://www.aligneddatacenters.com/data-centers/,Aligned Phoenix AZ. Hot dry; evaporative year-round.
MOD Mission Critical Phoenix AZ,MOD Mission Critical,33.4484,-112.074,AZ,colocation_secondary,evaporative,https://modmissioncritical.com/locations/,MOD Mission Critical Phoenix AZ. Hot dry AZ; cooling towers (evaporative). Industry default for hot dry climate.
365 Data Centers Tampa FL,365 Data Centers,27.9506,-82.4572,FL,colocation_secondary,hybrid,https://www.365datacenters.com/data-centers/,365 Data Centers Tampa FL. Hot humid FL; adiabatic assist. Hybrid.
Microsoft Quincy WA (additional site),Microsoft,47.2343,-119.8526,WA,hyperscaler_self,hybrid,https://aka.ms/sustainability/download,Microsoft 2024 Sustainability Report: Quincy WA has a mix of adiabatic and outside-air; some buildings adiabatic-primary. Hybrid.
Microsoft Chicago IL,Microsoft,41.8781,-87.6298,IL,hyperscaler_self,evaporative,https://aka.ms/sustainability/download,Microsoft 2024 Sustainability Report: Chicago IL uses cooling towers. Hot humid summers; evaporative year-round.
Microsoft San Jose CA,Microsoft,37.3382,-121.8863,CA,hyperscaler_self,hybrid,https://aka.ms/sustainability/download,Microsoft 2024 Sustainability Report: San Jose CA uses outside-air economizer with adiabatic support. Mild CA climate. Hybrid.
