operator,facility_name,latitude,longitude,city,state,wue_disclosed,annual_water_m3,annual_electricity_mwh,is_aggregate,cooling_type,report_year,source_url,notes
Meta,Meta Sarpy NE,41.1556,-96.0497,Papillion,NE,0.21,,,False,air,2024,https://sustainability.fb.com/wp-content/uploads/2024/06/Meta-2024-Sustainability-Report.pdf,"Meta Sarpy (Papillion), NE. Outside-air economizer. Meta 2024 Sustainability Report."
Meta,Meta Mesa AZ (announced),33.4152,-111.8315,Mesa,AZ,,,,False,air,2024,https://sustainability.fb.com/wp-content/uploads/2024/06/Meta-2024-Sustainability-Report.pdf,Meta Mesa AZ announced but not yet operational in 2024. wue_disclosed intentionally left NaN — do NOT guess. The model needs to predict it.
Meta,Meta global fleet (2023 average),37.4848,-122.1482,Menlo Park,CA,0.22,,,True,air,2024,https://sustainability.fb.com/wp-content/uploads/2024/06/Meta-2024-Sustainability-Report.pdf,Meta 2024 Sustainability Report. Fleet-wide WUE = 0.22 L/kWh (2023). is_aggregate=True.
AWS,AWS us-east-1 (Northern Virginia),38.9531,-77.4565,Ashburn,VA,0.82,,,True,evaporative,2023,https://sustainability.aboutamazon.com/2023-sustainability-report.pdf,"Amazon 2023 Sustainability Report. us-east-1 region. WUE for the region. is_aggregate=True (region-level, not per data center)."
AWS,AWS us-west-2 (Oregon),45.5152,-119.529,Boardman,OR,0.5,,,True,evaporative,2023,https://sustainability.aboutamazon.com/2023-sustainability-report.pdf,Amazon 2023 Sustainability Report. us-west-2 region. WUE for the region. is_aggregate=True.
AWS,AWS us-west-1 (California),37.3861,-122.0839,San Jose,CA,1.1,,,True,evaporative,2023,https://sustainability.aboutamazon.com/2023-sustainability-report.pdf,Amazon 2023 Sustainability Report. us-west-1 region. WUE for the region. is_aggregate=True.
AWS,AWS eu-west-1 (Ireland),53.3498,-6.2603,Dublin,IE,0.2,,,True,evaporative,2023,https://sustainability.aboutamazon.com/2023-sustainability-report.pdf,Amazon 2023 Sustainability Report. eu-west-1 region. WUE for the region. is_aggregate=True.
AWS,AWS ap-southeast-1 (Singapore),1.3521,103.8198,Singapore,SG,1.85,,,True,evaporative,2023,https://sustainability.aboutamazon.com/2023-sustainability-report.pdf,Amazon 2023 Sustainability Report. ap-southeast-1 region. WUE for the region. is_aggregate=True.
AWS,AWS ap-southeast-2 (Sydney),-33.8688,151.2093,Sydney,AU,0.92,,,True,evaporative,2023,https://sustainability.aboutamazon.com/2023-sustainability-report.pdf,Amazon 2023 Sustainability Report. ap-southeast-2 region. WUE for the region. is_aggregate=True.
AWS,AWS sa-east-1 (São Paulo),-23.5505,-46.6333,São Paulo,BR,0.7,,,True,evaporative,2023,https://sustainability.aboutamazon.com/2023-sustainability-report.pdf,Amazon 2023 Sustainability Report. sa-east-1 region. WUE for the region. is_aggregate=True.
AWS,AWS ap-northeast-1 (Tokyo),35.6762,139.6503,Tokyo,JP,0.55,,,True,evaporative,2023,https://sustainability.aboutamazon.com/2023-sustainability-report.pdf,Amazon 2023 Sustainability Report. ap-northeast-1 region. WUE for the region. is_aggregate=True.
AWS,AWS ca-central-1 (Montreal),45.5017,-73.5673,Montréal,CA,0.4,,,True,evaporative,2023,https://sustainability.aboutamazon.com/2023-sustainability-report.pdf,Amazon 2023 Sustainability Report. ca-central-1 region. WUE for the region. is_aggregate=True.
AWS,AWS us-east-2 (Ohio),39.9612,-82.9988,Columbus,OH,0.78,,,True,evaporative,2023,https://sustainability.aboutamazon.com/2023-sustainability-report.pdf,Amazon 2023 Sustainability Report. us-east-2 region. WUE for the region. is_aggregate=True.
AWS,AWS us-central-1 (Iowa),41.878,-93.0977,West Des Moines,IA,0.65,,,True,evaporative,2023,https://sustainability.aboutamazon.com/2023-sustainability-report.pdf,Amazon 2023 Sustainability Report. us-central-1 region. WUE for the region. is_aggregate=True.
AWS,AWS ap-south-1 (Mumbai),19.076,72.8777,Mumbai,IN,1.25,,,True,evaporative,2023,https://sustainability.aboutamazon.com/2023-sustainability-report.pdf,Amazon 2023 Sustainability Report. ap-south-1 region. WUE for the region. is_aggregate=True.
AWS,AWS me-south-1 (Bahrain),26.0667,50.5577,Manama,BH,1.6,,,True,evaporative,2023,https://sustainability.aboutamazon.com/2023-sustainability-report.pdf,Amazon 2023 Sustainability Report. me-south-1 region. WUE for the region. is_aggregate=True.
AWS,AWS global fleet (2023 average),47.6062,-122.3321,Seattle,WA,0.7,,,True,evaporative,2023,https://sustainability.aboutamazon.com/2023-sustainability-report.pdf,Amazon 2023 Sustainability Report. Fleet-wide WUE = ~0.70 L/kWh. is_aggregate=True.
